frame,pre_ms,seg_ms,depth_ms,post_ms,pub_ms,total_ms,e2e_ms
1725,2.22,63.61,48.52,3.21,0.13,117.69,147.73
1726,1.50,64.10,47.80,3.56,0.13,117.09,147.62
1727,1.33,60.96,57.83,3.24,0.14,123.49,155.81
1728,2.21,74.67,59.16,3.40,0.21,139.65,145.08
1729,1.43,74.03,49.77,4.05,0.17,129.45,159.68
1730,1.95,74.40,48.52,3.39,0.14,128.40,149.10
1731,2.46,71.26,54.70,3.08,0.14,131.64,198.45
1732,1.40,78.05,49.89,4.04,0.23,133.61,181.84
1733,1.64,83.11,49.42,3.51,0.14,137.81,171.19
1734,1.55,63.64,47.81,3.27,0.14,116.42,136.72
1735,2.07,70.26,56.48,4.46,0.15,133.42,155.39
1736,1.36,63.13,48.85,3.21,0.16,116.71,121.93
1737,2.21,78.12,62.45,3.89,0.15,146.81,154.11
1738,1.43,76.79,50.06,4.14,0.14,132.56,139.42
1739,2.76,68.50,44.99,3.40,0.18,119.83,140.85
1740,1.97,74.66,54.50,3.57,0.14,134.84,160.36
1741,1.49,70.57,54.05,3.51,0.14,129.78,141.06
1742,1.43,61.40,51.35,3.77,0.21,118.16,145.45
1743,2.03,72.06,47.63,4.49,0.15,126.36,152.96
1744,1.41,72.77,63.90,3.43,0.18,141.70,145.82
1745,1.92,85.73,41.24,4.14,0.18,133.21,164.86
1746,1.52,69.14,57.99,3.16,0.13,131.94,147.88
1747,1.43,72.59,59.16,3.75,0.13,137.06,170.27
1748,2.20,78.22,50.20,3.76,0.15,134.54,186.04
1749,1.30,65.67,49.19,3.28,0.13,119.58,124.87
1750,1.50,60.80,53.59,3.32,0.14,119.34,130.40
1751,1.63,61.06,58.51,3.24,0.13,124.56,136.77
1752,1.74,72.89,49.48,3.32,0.15,127.57,149.26
1753,1.54,80.75,45.73,4.71,0.13,132.87,175.80
1754,1.61,70.43,62.98,3.19,0.13,138.34,164.94
1755,1.72,68.37,43.71,3.33,0.14,117.26,132.78
1756,1.33,66.60,53.49,3.59,0.15,125.17,138.16
1757,1.58,76.10,56.09,3.50,0.16,137.42,162.34
1758,3.45,78.42,55.50,4.12,0.14,141.63,158.73
1759,1.27,75.37,48.71,3.99,0.15,129.50,174.92
1760,1.64,65.63,40.61,3.26,0.14,111.28,137.90
1761,1.33,67.48,53.31,4.61,0.14,126.87,183.72
1762,2.05,77.32,49.18,3.27,0.15,131.96,134.71
1763,1.47,74.32,58.56,3.73,0.17,138.24,154.82
1764,1.52,79.26,42.84,3.65,0.14,127.42,170.21
1765,1.74,62.53,57.00,3.15,0.14,124.56,180.84
1766,2.03,72.53,51.17,3.25,0.15,129.12,159.25
1767,2.11,60.30,56.75,3.42,0.15,122.73,165.93
1768,2.01,73.11,53.18,3.54,0.14,131.98,152.27
1769,2.04,71.59,49.69,3.25,0.13,126.71,191.02
1770,1.33,65.93,49.73,3.12,0.17,120.27,129.20
1771,2.01,54.48,57.00,3.09,0.13,116.71,131.63
1772,1.47,80.58,61.06,4.00,0.21,147.33,196.77
1773,1.67,71.83,53.01,3.79,0.17,130.47,152.18
1774,1.73,71.32,59.83,3.90,0.18,136.96,141.56
1775,1.48,68.90,57.73,3.25,0.14,131.51,156.08
1776,1.87,70.14,52.66,4.38,0.14,129.20,171.58
1777,1.54,71.16,49.77,4.49,0.15,127.11,147.38
1778,1.36,69.96,40.45,3.65,0.15,115.57,148.38
1779,1.94,68.75,55.13,3.67,0.14,129.63,159.71
1780,1.66,67.59,45.75,4.15,0.16,119.31,133.70
1781,2.00,66.42,60.43,3.15,0.13,132.13,151.44
1782,2.15,55.16,59.79,3.46,0.14,120.70,158.98
1783,1.33,70.43,56.96,3.05,0.16,131.94,140.60
1784,1.39,74.03,45.45,3.60,0.15,124.61,146.14
1785,3.08,68.41,50.11,3.64,0.14,125.38,188.82
1786,1.65,71.89,56.73,3.40,0.21,133.87,140.51
1787,1.46,66.62,57.35,3.74,0.18,129.34,167.03
1788,1.62,62.01,51.96,3.77,0.14,119.51,170.58
1789,1.38,68.10,53.00,3.64,0.17,126.29,153.44
1790,1.27,67.85,49.08,3.21,0.14,121.56,124.79
1791,1.50,66.76,51.93,3.59,0.14,123.90,166.32
1792,1.37,73.03,55.39,3.83,0.18,133.81,149.25
1793,3.45,76.62,59.02,3.76,0.20,143.06,180.93
1794,1.54,77.36,54.34,3.71,0.14,137.08,169.21
1795,1.46,62.85,56.71,3.21,0.14,124.36,144.66
1796,1.55,67.70,59.56,3.39,0.16,132.36,158.96
1797,2.11,81.21,52.61,3.98,0.16,140.07,155.98
1798,1.58,68.25,53.99,3.62,0.19,127.62,138.42
1799,2.27,70.77,53.51,3.20,0.14,129.89,151.48
1800,1.77,62.58,49.98,3.17,0.13,117.64,123.09
1801,1.35,69.65,50.38,4.24,0.17,125.79,130.11
1802,1.91,73.96,60.93,3.16,0.13,140.10,190.14
1803,1.49,66.86,49.36,3.79,0.15,121.65,130.23
1804,2.21,85.28,52.39,3.41,0.16,143.45,162.01
1805,1.65,62.23,61.20,3.27,0.14,128.49,175.03
1806,3.07,74.22,56.42,3.26,0.13,137.10,163.39
1807,1.31,74.00,53.04,3.33,0.15,131.82,148.61
1808,1.42,76.84,54.79,3.42,0.17,136.64,165.49
1809,3.04,81.32,50.92,3.75,0.19,139.22,193.91
